Year,World,Asia & Pacific,China,India,Australia,Japan,Korea,Rest of Asia & Pacific,Europe,Germany,Netherlands,France,Spain,Italy,Rest of Europe,Americas,US,Brazil,Rest of Americas,Rest of the World
2013,34.2,19.3,11.3,0.5,0.8,5.7,0.5,0.5,10.2,2.6,0.4,0.9,0.1,1.4,7.3,4.2,3.6,0,0.6,0.6
2014,35.9,22.5,8.2,2,0.7,7.2,0.9,3.4,6.9,1.2,0.4,0.8,0,0.4,5.4,5.2,4.2,0,1,1.3
2015,45.9,29,12.8,1.9,0.7,9.3,1.1,3.1,8.7,1.3,0.5,1.1,0,0.3,6.8,7.5,5.7,0,1.7,0.7
2016,73.8,52.6,34.6,4.3,0.8,9.8,0.9,2.2,7.1,1.5,0.6,0.6,0,0.4,5.6,12.5,11.3,0.1,1.2,1.6
2017,93.2,70.4,53.1,8.3,0.7,5.8,1.3,1.3,8.8,1.6,0.8,0.9,0,0.4,6.7,11.4,8.4,1.1,1.9,2.5
2018,98.5,68.9,43,9.2,1.3,11.3,1.3,2.9,10.9,2.9,1.7,1.1,0,0.4,7.7,14.3,10.1,1.2,3.1,4.3
2019,97.8,58.5,26.8,7.7,4.7,6,3.4,9.8,21.9,3.9,2.6,1.1,4.2,0.8,13.3,12.9,7.5,2.1,3.3,4.6
2020,126.7,81.6,48.2,4.1,4.1,5.5,4.1,15.7,21.5,4.7,3,0.9,2.8,0.7,14,20.4,14.9,3.3,2.3,3.2
2021,162,98,54.9,11.9,5.2,5.1,4.4,16.5,29.8,5.3,3.2,2.5,3.8,0.8,14.5,30.6,23,5.1,2.5,3.5
2022,230,148.6,87.4,14,4.5,3.1,5,32.1,41.4,7.9,4,2.7,7.5,2.5,16.8,34.8,20.2,10.6,4,5.2
2023,409.1,277.9,216.3,5.8,3.8,9,7,36,53,,,,,,,71.2,32,34.2,5,7
2024,470.0236,316.505,248.745,6.38,4.18,9.9,7.7,39.6,60.95,,,,,,,85.5686,38.4,42.1686,5,7
2025,531.7098838,351.5435,273.6195,7.337,4.807,11.385,8.855,45.54,70.0925,,,,,,,103.0738838,46.08,51.9938838,5,7