日期,价格（元/W）
2024-05-15,0.92
2024-05-08,0.91
2024-04-24,0.94
2024-04-17,0.93
2024-04-10,0.95
2024-04-03,0.97
2024-03-27,0.93
2024-03-20,0.93
2024-03-13,0.93
2024-03-06,0.93
2024-02-28,0.93
2024-02-21,0.93
2024-02-07,0.93
2024-01-31,0.93
2024-01-24,0.93
2024-01-17,0.93
2024-01-10,0.93
2024-01-03,0.94
2023-12-27,0.98
2023-12-20,1.00
2023-12-13,1.03
2023-12-06,1.03
2023-11-29,1.04
2023-11-22,1.06
2023-11-15,1.07
2023-11-08,1.10
2023-11-01,1.12
2023-10-25,1.14
2023-10-18,1.15
2023-10-11,1.20
2023-09-27,1.22
2023-09-20,1.23
2023-09-13,1.24
2023-09-06,1.25
2023-08-30,1.26
2023-08-23,1.26
2023-08-16,1.27
2023-08-09,1.27
2023-08-02,1.30
2023-07-26,1.32
2023-07-19,1.33
2023-07-12,1.35
2023-07-05,1.40
2023-06-28,1.42
2023-06-21,1.43
2023-06-14,1.47
2023-06-07,1.52
2023-05-31,1.62
2023-05-24,1.65
2023-05-17,1.68
2023-05-10,1.70
2023-04-26,1.71
2023-04-19,1.71
2023-04-12,1.73
2023-04-05,1.73
2023-03-29,1.73
2023-03-22,1.74
2023-03-15,1.74
2023-03-08,1.74
2023-03-01,1.76
2023-02-22,1.78
2023-02-15,1.78
2023-02-08,1.76
2023-02-01,1.76
2023-01-18,1.76
2023-01-11,1.79
2023-01-04,1.84
2022-12-28,1.89
2022-12-21,1.91
2022-12-14,1.94
2022-12-07,1.95
2022-11-30,1.95
2022-11-23,1.96
2022-11-16,1.97
2022-11-09,1.97
2022-11-02,1.97
2022-10-26,1.97
2022-10-19,1.97
2022-10-12,1.97
2022-10-05,1.97
2022-09-28,1.97
2022-09-21,1.97
2022-09-14,1.97
2022-09-07,1.97
2022-08-31,1.97
2022-08-24,1.97
2022-08-17,1.96
2022-08-10,1.96
2022-08-03,1.97
2022-07-27,1.97
2022-07-20,1.96
2022-07-13,1.95
2022-07-06,1.95
2022-06-29,1.93
2022-06-22,1.93
2022-06-15,1.93
2022-06-08,1.93
2022-06-01,1.93
2022-05-25,1.93
2022-05-18,1.93
2022-05-11,1.92
2022-04-27,1.90
2022-04-20,1.89
2022-04-13,1.89
2022-04-06,1.89
2022-03-30,1.89
2022-03-23,1.89
2022-03-16,1.89
2022-03-09,1.88
2022-03-02,1.88
2022-02-23,1.87
2022-02-16,1.87
2022-02-09,1.87
2022-01-26,1.87
2022-01-19,1.87
2022-01-12,1.87
2022-01-05,1.87
2021-12-29,1.87
2021-12-22,1.92
2021-12-15,1.94
2021-12-08,1.94
2021-12-01,1.97
2021-11-24,2.03
2021-11-17,2.06
2021-11-10,2.06
2021-11-03,2.08
,
,